topic,question,link,difficulty,completed
Stack,Min Stack,https://leetcode.com/problems/min-stack/,Medium,No
Stack,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,No
Stack,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,Easy,No
Stack,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,No

BinarySearch,Binary Search,https://leetcode.com/problems/binary-search/,Easy,No
BinarySearch,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,No
BinarySearch,First Bad Version,https://leetcode.com/problems/first-bad-version/,Easy,No
BinarySearch,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,No
BinarySearch,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,No

Trees,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,No
Trees,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,No
Trees,Same Tree,https://leetcode.com/problems/same-tree/,Easy,No
Trees,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Easy,No
Trees,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,No
Trees,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,No
Trees,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,No
Trees,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,No
Trees,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,No
Trees,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,No

Graphs,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,No
Graphs,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,No
Graphs,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,No
Graphs,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,No
Graphs,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,No

Heap,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,No
Heap,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,No
Heap,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,No

Greedy,Jump Game,https://leetcode.com/problems/jump-game/,Medium,No
Greedy,Gas Station,https://leetcode.com/problems/gas-station/,Medium,No
Greedy,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,No

DP,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,No
DP,House Robber,https://leetcode.com/problems/house-robber/,Medium,No
DP,Coin Change,https://leetcode.com/problems/coin-change/,Medium,No
DP,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,No
DP,Word Break,https://leetcode.com/problems/word-break/,Medium,No
DP,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,No

Backtracking,Subsets,https://leetcode.com/problems/subsets/,Medium,No
Backtracking,Permutations,https://leetcode.com/problems/permutations/,Medium,No
Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,No
Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,No
Backtracking,N-Queens,https://leetcode.com/problems/n-queens/,Hard,No
